Status,pdate,Job ID,Job title,Company Name,DE,Company Location,Seniority Level,Industry,Employment Type,Job Functions,Number of applicants,pdatetime,Posted Date,cdatetime,cdate
3 Open,2020-04-18,1823878161,Data Scientist (m/w/d),Characters Recruiting GmbH,True,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-18 16:58:05.587049,Posted 3 days ago,2020-04-21 16:58:05.587049,2020-04-21
3 Open,2020-04-20,1804905324,Senior Data Scientist (m/w/d) Medical Devices,Fresenius Medical Care,True,"Berlin, DE",Associate,Hospital & Health Care | Pharmaceuticals | Information Technology & Services,Full-time,Other,Be among the first 25 applicants,2020-04-20 17:02:15.743125,Posted 1 day ago,2020-04-21 17:02:15.743125,2020-04-21
3 Open,2020-04-29,1842475826,Senior Data Scientist,Flaconi,True,"Berlin, DE",Associate,Marketing & Advertising | Information Technology & Services | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-29 17:51:17.871524,Posted 1 hour ago,2020-04-29 17:51:17.871524,2020-04-29
3 Open,2020-05-04,1830144866,"Geoinformatiker/in, Data Scientist, Statistiker/in, Geograph/in o.ä.",German Aerospace Center (DLR),True,"Berlin, Berlin",Associate,Aviation & Aerospace,Full-time,Science | Research,Be among the first 25 applicants,2020-05-04 10:54:31.299007,Posted 18 hours ago,2020-05-04 10:54:31.299007,2020-05-04
3 Open,2020-05-07,1853855614,Data Scientist (m/w/d),Kienbaum,True,"Berlin, DE",Entry level,Information Technology & Services | Staffing & Recruiting | Management Consulting,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-05-07 16:06:50.358624,Posted 3 days ago,2020-05-10 16:06:50.358624,2020-05-10
3 Open,2020-05-07,1854018934,(Senior) Data Scientist (m/w/d),ProSiebenSat.1,True,"Berlin, DE",Associate,Marketing & Advertising | Online Media | Internet,Full-time,Other,Be among the first 25 applicants,2020-05-07 16:06:50.278622,Posted 3 days ago,2020-05-10 16:06:50.278622,2020-05-10
2 Closed,2020-03-24,1738848035,Data Scientist,Alldus,False,"Berlin Area, Germany",Mid-Senior level,Staffing & Recruiting,Full-time,Science,Over 200 applicants,2020-03-24 17:07:26.320189,Posted 4 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-03-31,1794586945,Senior Data Scientist (m/f/d) for MedTech and Gaming,Berlin Brandenburg Airport,False,"Berlin, DE",Associate,Information Technology & Services | Computer Software | Staffing & Recruiting,Full-time,Other,Be among the first 25 applicants,2020-03-31 17:07:26.320189,Posted 3 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-01,1768480723,Senior Data Scientist (f/m/x),HelloFresh,False,"Berlin Area, Germany",Mid-Senior level,Marketing & Advertising | Internet | Food & Beverages,Full-time,Information Technology | Engineering | Other,38 applicants,2020-04-01 17:20:21.942654,Posted 3 weeks ago,2020-04-22 17:20:21.942654,2020-04-22
2 Closed,2020-04-07,1803544344,Data Scientist,Vendo Services,False,"Berlin, Germany",Mid-Senior level,Information Technology & Services,Full-time,Analyst | Engineering | Information Technology,Over 200 applicants,2020-04-07 17:07:26.320189,Posted 2 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-07,1776883064,Senior Research Engineer - Pricing and Personalisation (Python),Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-07 17:07:26.320189,Posted 2 weeks ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-13,1797513832,Senior Data Scientist (f/m/x),travel audience GmbH - an Amadeus Company,False,"Berlin Area, Germany",Mid-Senior level,"Internet | Marketing & Advertising | Leisure, Travel & Tourism",Full-time,Research | Analyst | Engineering,161 applicants,2020-04-13 21:08:29.151957,Posted 2 weeks ago,2020-04-27 21:08:29.151957,2020-04-27
2 Closed,2020-04-14,1813134804,Data Scientist,Alldus,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-14 17:07:26.320189,Posted 1 week ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-14,1812317421,Senior Data Scientist,BCGDV,False,"Berlin, DE",Associate,Marketing & Advertising | Staffing & Recruiting | Management Consulting,Full-time,Other,Be among the first 25 applicants,2020-04-14 17:07:26.320189,Posted 1 week ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-14,1812948296,Data Scientist,Hundred,False,"Berlin, DE",Entry level,"Marketing & Advertising | Internet | Health, Wellness & Fitness",Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-14 17:07:26.320189,Posted 1 week ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-15,1815571623,Data Scientist,Remerge,False,"Berlin, DE",Entry level,Marketing & Advertising | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-15 09:17:26.822156,Posted 1 week ago,2020-04-22 09:17:26.822156,2020-04-22
2 Closed,2020-04-15,1815573119,Data Scientist,Remerge,False,"Berlin, DE",Entry level,Marketing & Advertising | Computer Software | Internet,Full-time,Engineering | Information Technology,Be among the first 25 applicants,2020-04-15 09:17:26.834157,Posted 1 week ago,2020-04-22 09:17:26.834157,2020-04-22
2 Closed,2020-04-15,1739043765,Data Scientist- Marketing Analytics (m/f/d),TeamViewer,False,"Berlin, DE",Entry level,Information Technology & Services | Computer Software | Internet,Full-time,Engineering | Information Technology,159 applicants,2020-04-15 09:17:26.826156,Posted 1 week ago,2020-04-22 09:17:26.826156,2020-04-22
2 Closed,2020-04-20,1802141086,Research Engineer - Customer Measurement Prediction,Zalando SE,False,"Berlin, DE",Mid-Senior level,Internet | Retail | Information Technology & Services,Full-time,Research,Be among the first 25 applicants,2020-04-20 17:07:26.320189,Posted 1 day ago,2020-04-21 17:07:26.320189,2020-04-21
2 Closed,2020-04-21,1823957853,"(Senior) Data Scientist, Algorithms (d/f/m)",AUTO1 Group G.m.b.H,False,"Berlin, DE",Associate,Marketing & Advertising | Automotive | Internet,Full-time,Other,Be among the first 25 applicants,2020-04-21 18:54:18.733579,Posted 2 weeks ago,2020-05-05 18:54:18.733579,2020-05-05
